fiscal_year,school_type,value,unit,note
2023-24,Government,127490199.0,value in absolute number,Including Pre-Primary Level
2023-24,Government Aided,25547841.0,value in absolute number,Including Pre-Primary Level
2023-24,Private Unaided,90036939.0,value in absolute number,Including Pre-Primary Level
2023-24,Others,4970849.0,value in absolute number,Including Pre-Primary Level
2022-23,Government,136204917.0,value in absolute number,Including Pre-Primary Level
2022-23,Government Aided,26233480.0,value in absolute number,Including Pre-Primary Level
2022-23,Private Unaided,84162385.0,value in absolute number,Including Pre-Primary Level
2022-23,Others,5190940.0,value in absolute number,Including Pre-Primary Level
2021-22,Government,140498718.0,value in absolute number,Including Pre-Primary Level
2021-22,Government Aided,26647860.0,value in absolute number,Including Pre-Primary Level
2021-22,Private Unaided,82450325.0,value in absolute number,Including Pre-Primary Level
2021-22,Others,6143720.0,value in absolute number,Including Pre-Primary Level
2020-21,Government,132425644.0,value in absolute number,Including Pre-Primary Level
2020-21,Government Aided,26446332.0,value in absolute number,Including Pre-Primary Level
2020-21,Private Unaided,88089385.0,value in absolute number,Including Pre-Primary Level
2020-21,Others,6843100.0,value in absolute number,Including Pre-Primary Level
2019-20,Government,128142596.0,value in absolute number,Including Pre-Primary Level
2019-20,Government Aided,27014238.0,value in absolute number,Including Pre-Primary Level
2019-20,Private Unaided,88913012.0,value in absolute number,Including Pre-Primary Level
2019-20,Others,6901837.0,value in absolute number,Including Pre-Primary Level
2018-19,Government,128716369.0,value in absolute number,Including Pre-Primary Level
2018-19,Government Aided,27530022.0,value in absolute number,Including Pre-Primary Level
2018-19,Private Unaided,84122799.0,value in absolute number,Including Pre-Primary Level
2018-19,Others,7969394.0,value in absolute number,Including Pre-Primary Level
2017-18,Government,131755633.0,value in absolute number,Including Pre-Primary Level
2017-18,Government Aided,27988914.0,value in absolute number,Including Pre-Primary Level
2017-18,Private Unaided,83308685.0,value in absolute number,Including Pre-Primary Level
2017-18,Others,7917112.0,value in absolute number,Including Pre-Primary Level
2016-17,Government,,value in absolute number,Including Pre-Primary Level
2016-17,Government Aided,,value in absolute number,Including Pre-Primary Level
2016-17,Private Unaided,,value in absolute number,Including Pre-Primary Level
2016-17,Others,,value in absolute number,Including Pre-Primary Level
2015-16,Government,,value in absolute number,Including Pre-Primary Level
2015-16,Government Aided,,value in absolute number,Including Pre-Primary Level
2015-16,Private Unaided,,value in absolute number,Including Pre-Primary Level
2015-16,Others,,value in absolute number,Including Pre-Primary Level
2014-15,Government,,value in absolute number,Including Pre-Primary Level
2014-15,Government Aided,,value in absolute number,Including Pre-Primary Level
2014-15,Private Unaided,,value in absolute number,Including Pre-Primary Level
2014-15,Others,,value in absolute number,Including Pre-Primary Level
